detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc,confidence,reasoning
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item matches exactly with multiple historical examples having the same detail and supplier, all classified as Materials Purchased for the BAR department with tax code T1. The perfect similarity scores and consistent classification in the examples justify full confidence in this classification."
SSR I71,SUPPLIER 107,Vehicle Licences,Materials Purchased,MAINTENANCE,KITCHEN,T9,T0,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}","The line item detail 'SSR I71' and supplier 'SUPPLIER 107' closely resemble historical items with supplier 'supplier 71' and detail 'food', all classified as Materials Purchased for the KITCHEN department with tax code T0. Given the high similarity and consistent classification in historical data, the same classification is applied here with high confidence."
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Furniture and Fixtures,RESTAURANT,GENERAL/CAPITAL,T3,T9,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.95}",Most similar historical items with the same supplier and detail text are classified as Furniture and Fixtures under the GENERAL/CAPITAL department with tax code T9. This consistent pattern across multiple examples supports a high confidence in this classification.
INSECT KILLER,SUPPLIER 70,Miscellaneous Expenses,Cleaning,HOUSEKEEPING,HOUSEKEEPING,T3,T3,"{'nominal': 1.0, 'department': 1.0, 'tax_code': 1.0}","The line item 'INSECT KILLER' from 'SUPPLIER 70' matches exactly with a historical example classified as Cleaning, Housekeeping, and tax code T3 with full similarity. Similar pest control items also share these classifications, supporting a high confidence in this classification."
WATER SUPPLY,SUPPLIER 118,Water Rates,Materials Purchased,GENERAL/CAPITAL,HOUSEKEEPING,T3,T1,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.9}","The line item 'WATER SUPPLY' from SUPPLIER 118 closely matches historical items labeled as 'detail: water' from supplier 13, all classified under 'Materials Purchased' nominal, 'HOUSEKEEPING' department, and tax code 'T1'. Given the high similarity scores (0.83) and consistent classification in past examples, the same classification is applied here with high confidence."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 1.0, 'department': 0.7, 'tax_code': 1.0}","The nominal and tax code are consistent across all similar historical items with 100% similarity, classified as Vehicle Fuel and T3 respectively. The department is split between ACCOMMODATION and MAINTENANCE, so ACCOMMODATION is chosen with slightly lower confidence due to frequency in examples."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 1.0, 'department': 0.6, 'tax_code': 1.0}","The nominal classification is Materials Purchased with full confidence as all similar historical items with the same supplier and detail are classified as such. The tax code is T0 consistently across all examples. The department is less certain as similar items are split between BAR, KITCHEN, and HOUSEKEEPING, but BAR is chosen with moderate confidence as it appears most frequently."
TEA,SUPPLIER 14,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T1,"{'nominal': 0.9, 'department': 0.85, 'tax_code': 0.85}","The item 'TEA' from supplier 14 closely matches historical items labeled as 'beverage' from the same supplier, which were classified under 'Materials Purchased' nominal and 'BAR' department with tax code 'T1'. Given the strong similarity and supplier consistency, the same classification is applied here with high confidence."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 1.0}","All similar historical items with the same supplier and detail classify the nominal as Materials Purchased and tax code as T0 with full confidence. The department varies among BAR, KITCHEN, and HOUSEKEEPING, but BAR appears most frequently, so it is chosen with moderate confidence."
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Furniture and Fixtures,HOUSEKEEPING,GENERAL/CAPITAL,T9,T9,"{'nominal': 0.9, 'department': 0.9, 'tax_code': 0.8}","Most similar historical items with the same supplier and detail classify the nominal as Furniture and Fixtures and department as GENERAL/CAPITAL with tax code T9. Although Miscellaneous Expenses and RESTAURANT department appear once, the majority and higher confidence examples support Furniture and Fixtures and GENERAL/CAPITAL with tax code T9."
