detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc,confidence,reasoning
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.85}","All similar historical items with the same detail and supplier were classified as Materials Purchased for the BAR department. Most examples used tax code T1 (one instance T0), so T1 is chosen as the most consistent match."
ARCHITECTURAL SERVICES,SUPPLIER 114,Professional Fees,Professional Fees,ADMINISTRATION,GENERAL/CAPITAL,T9,T9,"{'nominal': 0.82, 'department': 0.75, 'tax_code': 0.6}","The line item 'Architectural Services' aligns with consultancy/professional services and is best mapped to Professional Fees. Similar examples of building/aperature works were assigned Legal Fees or Repairs/Capital; given the nature of architectural work it supports capital projects so GENERAL/CAPITAL is chosen. VAT is 0.0 and similar legal/consultancy items used T9, so T9 is assigned with moderate confidence."
SSR I71,SUPPLIER 107,Vehicle Licences,Materials Purchased,MAINTENANCE,KITCHEN,T9,T0,"{'nominal': 0.85, 'department': 0.85, 'tax_code': 0.9}","The detail and supplier code closely match historical items labeled 'food' from supplier 71, which were consistently classified as Materials Purchased for the KITCHEN with tax code T0. Given strong similarity in supplier and description patterns, the same classifications are applied."
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Miscellaneous Expenses,RESTAURANT,GENERAL/CAPITAL,T3,T9,"{'nominal': 0.7, 'department': 0.6, 'tax_code': 0.8}","Multiple identical historical examples for supplier 121 with text 'LOCAL CHARGES' map to Miscellaneous Expenses and T9; while department varies, GENERAL/CAPITAL is a common assignment for supplier 121 in similar entries. VAT present and prior mappings to T9 support choosing T9."
INSECT KILLER,SUPPLIER 70,Miscellaneous Expenses,Cleaning,HOUSEKEEPING,HOUSEKEEPING,T3,T3,"{'nominal': 0.95, 'department': 0.9, 'tax_code': 0.9}","The detail 'INSECT KILLER' with supplier 70 exactly matches a prior example classified as Cleaning for HOUSEKEEPING with tax code T3. Similar pest control examples also map to Cleaning and HOUSEKEEPING with T3, so this classification follows those strong historical matches."
WATER SUPPLY,SUPPLIER 118,Water Rates,Water Rates,GENERAL/CAPITAL,HOUSEKEEPING,T3,T1,"{'nominal': 0.9, 'department': 0.85, 'tax_code': 0.8}","Detail 'WATER SUPPLY' matches historical 'water' items which were classified as Materials Purchased for Housekeeping with T1; given available nominal categories, Water Rates is the best fit for water supply expenses and Housekeeping/T1 aligns with the strong historical pattern."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 0.95, 'department': 0.75, 'tax_code': 0.95}","All similar historical items with the same supplier and detail 'DIESEL' were classified as Vehicle Fuel with tax code T3. Most examples used department ACCOMMODATION (4 out of 5), so ACCOMMODATION is chosen with slightly lower confidence due to one MAINTENANCE instance."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","Historical examples for 'coffee' from Supplier 33 consistently map to 'Materials Purchased' and tax code T0. Departments vary between BAR, KITCHEN, and HOUSEKEEPING; BAR is a common match for coffee purchases so it is selected with moderate confidence."
TEA,SUPPLIER 14,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.6}","Historical examples for 'tea' map to Materials Purchased and Housekeeping, but supplier 14 examples for beverage map strongly to BAR. Given detail 'TEA' and supplier 14, Materials Purchased and BAR are most consistent. VAT was 0.0 in this item and similar entries show T0, so T0 is chosen."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","All similar historical items with detail 'coffee' from Supplier 33 are classified as 'Materials Purchased' with tax code T0, so that nominal and tax code are chosen with high confidence. Department examples vary between BAR, KITCHEN, and HOUSEKEEPING; BAR is selected as the most frequent and context-appropriate for coffee, but with slightly lower confidence."
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,GENERAL/CAPITAL,T9,T9,"{'nominal': 0.7, 'department': 0.8, 'tax_code': 0.9}","Multiple highly similar historical entries for 'DETAIL: LOCAL CHARGES' from SUPPLIER 121 were classified as Miscellaneous Expenses and/or items under GENERAL/CAPITAL with tax code T9; T9 is the most frequent tax code and GENERAL/CAPITAL appears commonly for supplier 121, so Miscellaneous Expenses / GENERAL/CAPITAL / T9 is the best match."
TRANSPORTATION,SUPPLIER 76,Miscellaneous Expenses,Travelling,RESTAURANT,RESTAURANT,T9,T3,"{'nominal': 0.92, 'department': 0.9, 'tax_code': 0.9}","The line detail is 'TRANSPORTATION' and a highly similar historical example (similarity 0.96) with the same supplier was classified as Travelling for the RESTAURANT department with tax code T3. Other examples for this supplier also map to restaurant and T3, supporting the same classification."
LOCAL CHARGES,SUPPLIER 121,Buildings,Miscellaneous Expenses,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T9,"{'nominal': 0.7, 'department': 0.7, 'tax_code': 0.9}","Multiple identical historical items for supplier 121 with description 'LOCAL CHARGES' map to Miscellaneous Expenses and often to GENERAL/CAPITAL or CAPITAL-related departments; T9 appears frequently for this supplier and description. Given the high similarity of examples, Miscellaneous Expenses / GENERAL/CAPITAL with tax code T9 is the most consistent match."
COFFEE/BREAD,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.9}","The detail 'COFFEE/BREAD' and supplier SUPPLIER 70 closely match multiple historical items labeled as 'Materials Purchased' for HOUSEKEEPING with tax code T0. High similarity in past records supports the same nominal, department, and tax code assignment."
COFFEE,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.9}","The line detail 'COFFEE' from 'SUPPLIER 70' exactly matches multiple historical items that were consistently coded as Materials Purchased, HOUSEKEEPING, and tax code T0. Given identical supplier/detail matches and zero VAT, the same classifications are applied with high confidence."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 0.95, 'department': 0.75, 'tax_code': 0.95}","All provided similar historical items with the same supplier and detail ('DIESEL', 'SUPPLIER 96') are labeled as Vehicle Fuel and use tax code T3, so Vehicle Fuel and T3 are chosen with high confidence. Most examples assign the department ACCOMMODATION (with one MAINTENANCE), so ACCOMMODATION is selected with slightly lower confidence."
COFFEE/LOTUS,SUPPLIER 46,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.7, 'tax_code': 0.95}","The detail 'COFFEE/LOTUS' matches historical examples of coffee purchases which were classified as Materials Purchased. Most similar examples were assigned to the BAR department, so BAR is chosen as the most likely cost centre. VAT is zero in this case and historical items used tax code T0, so T0 is applied."
BEVERAGE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1,"{'nominal': 0.95, 'department': 0.95, 'tax_code': 0.7}","All highly similar historical items with the same detail and supplier were classified as Materials Purchased and BAR. Most examples used tax code T1 (with a couple T2), so T1 is chosen as the most likely tax code while noting slight uncertainty."
EMPTYING OF GREASE TRAPS 2,SUPPLIER 133,Cleaning,Repairs and Renewals,KITCHEN,MAINTENANCE,T3,T3,"{'nominal': 0.8, 'department': 0.8, 'tax_code': 0.9}","Emptying grease traps is a maintenance service similar to drain pipe work in the examples, which were coded as Repairs and Renewals and MAINTENANCE. Historical items with cleaning/maintenance services used tax code T3, so T3 is applied here."
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3,"{'nominal': 0.95, 'department': 0.85, 'tax_code': 0.9}","All similar historical items with identical detail and supplier were classified as Vehicle Fuel with tax code T3. Most examples used the ACCOMMODATION department (one used MAINTENANCE), so ACCOMMODATION is selected with high confidence based on majority match."
VAT,SUPPLIER 121,Furniture and Fixtures,Buildings,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6,"{'nominal': 0.8, 'department': 0.9, 'tax_code': 0.95}","All high-similarity historical matches for Supplier 121 with DETAIL: VAT predominantly map to Buildings, GENERAL/CAPITAL and tax code T6. Given multiple examples with identical supplier and detail and consistent tax_code T6, Buildings and GENERAL/CAPITAL are chosen as the most likely classification."
CORD/TIMESHEETS,SUPPLIER 9,Miscellaneous Expenses,Professional Fees,KITCHEN,ADMINISTRATION,T3,T9,"{'nominal': 0.6, 'department': 0.8, 'tax_code': 0.6}","Description 'CORD/TIMESHEETS' suggests contractor/timekeeping/professional services rather than telecom; historical similar item 'late filing' mapped to Professional Fees with T9 and ADMINISTRATION. Multiple historical examples point to ADMINISTRATION, so department assigned with higher confidence; tax code T9 chosen following the Professional Fees precedent."
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,BAR,T0,T0,"{'nominal': 0.9, 'department': 0.8, 'tax_code': 0.95}","All similar historical items with detail 'coffee' from Supplier 33 were classified as 'Materials Purchased' with tax code T0. Department historically varies (BAR, KITCHEN, HOUSEKEEPING); BAR is chosen as the most common/useful default for coffee supplies in these examples."
