detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1
59 BINS ORG MAY 25,SUPPLIER 19,Cleaning,Cleaning,HOUSEKEEPING,ADMINISTRATION,T3,T3
YELLOW BOARDS,SUPPLIER 79,Buildings,Miscellaneous Expenses,CAPITAL,CAPITAL,T6,T3
BAGS,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
PAN,SUPPLIER 9,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
ARCHITECTURAL SERVICES,SUPPLIER 114,Professional Fees,Professional Fees,ADMINISTRATION,CAPITAL,T9,T6
SSR I71,SUPPLIER 107,Vehicle Licences,Repairs and Renewals,MAINTENANCE,MAINTENANCE,T9,T6
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,RESTAURANT,GENERAL/CAPITAL,T3,T6
INSECT KILLER,SUPPLIER 70,Miscellaneous Expenses,Cleaning,HOUSEKEEPING,HOUSEKEEPING,T3,T3
WATER SUPPLY,SUPPLIER 118,Water Rates,Plant and Machinery,GENERAL/CAPITAL,GENERAL/CAPITAL,T3,T1
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
NEWSPAPERS,SUPPLIER 0,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
PLATES,SUPPLIER 60,Miscellaneous Expenses,Repairs and Renewals,RESTAURANT,RESTAURANT,T3,T3
TEA,SUPPLIER 14,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T0,T1
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,HOUSEKEEPING,GENERAL/CAPITAL,T9,T6
TRANSPORTATION,SUPPLIER 76,Miscellaneous Expenses,Travelling,RESTAURANT,RESTAURANT,T9,T3
LOCAL CHARGES,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
COFFEE,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
FORD REPAIRS,SUPPLIER 123,Vehicle Repairs and Servicing,Repairs and Renewals,MAINTENANCE,MAINTENANCE,T3,T6
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
BEVERAGE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1
EMPTYING OF GREASE TRAPS 2,SUPPLIER 133,Cleaning,Cleaning,KITCHEN,MAINTENANCE,T3,T3
FACIAL TISSUES,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
CLING FILM,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
VAT,SUPPLIER 121,Furniture and Fixtures,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
CORD/TIMESHEETS,SUPPLIER 9,Miscellaneous Expenses,Telephone and Fax,KITCHEN,ADMINISTRATION,T3,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
NEWSPAPERS,SUPPLIER 11,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
BCRS,SUPPLIER 13,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9
BCRS,SUPPLIER 13,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9
WOOD,SUPPLIER 79,Repairs and Renewals,Furniture and Fixtures,MAINTENANCE,CAPITAL,T3,T6
LOCAL CHARGES,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T9,T6
HAND POWER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
PAN,SUPPLIER 9,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GLOVES,SUPPLIER 14,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
NEWSPAPERS,SUPPLIER 0,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
BEVERAGE,SUPPLIER 15,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1
CONSULTANCY: MONITORING AIR QU,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,MAINTENANCE,T3,T3
BCRS,SUPPLIER 13,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9
APRONS,SUPPLIER 72,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
GAS,SUPPLIER 23,Gas,Gas,KITCHEN,HOUSEKEEPING,T3,T3
ICECREAM,SUPPLIER 49,Materials Purchased,Materials Purchased,KITCHEN,BAR,T2,T2
FERRY CAR SCHEME,SUPPLIER 95,Travelling,Travelling,ADMINISTRATION,ADMINISTRATION,T9,T3
APR-JUN 25,SUPPLIER 78,Electricity,Water Rates,ADMINISTRATION,ADMINISTRATION,T5,T5
NEWSPAPERS,SUPPLIER 0,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
30 SKIPS JUNE 2025,SUPPLIER 19,Cleaning,Water Rates,HOUSEKEEPING,ADMINISTRATION,T3,T9
SSR I71,SUPPLIER 107,Vehicle Insurance,Repairs and Renewals,MAINTENANCE,MAINTENANCE,T9,T6
ACID/ACID TEST,SUPPLIER 119,Cleaning,Repairs and Renewals,HOUSEKEEPING,MAINTENANCE,T3,T3
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1
MARCH 2024 SERVICES,SUPPLIER 27,Miscellaneous Expenses,Electricity,ADMINISTRATION,ADMINISTRATION,T9,T9
COMNSULTANCY,SUPPLIER 124,Professional Fees,Professional Fees,ADMINISTRATION,ADMINISTRATION,T3,T6
GLASSES,SUPPLIER 37,Repairs and Renewals,Buildings,MAINTENANCE,CAPITAL,T3,T6
ENFORCEMENT OFFICERS,SUPPLIER 3,Buildings,Professional Fees,CAPITAL,ADMINISTRATION,T6,T3
NEWSPAPERS,SUPPLIER 0,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
NEWSPAPERS,SUPPLIER 0,Materials Purchased,Miscellaneous Expenses,ACCOMMODATION,ACCOMMODATION,T2,T2
BAKING PAPER,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,RESTAURANT,T3,T3
COFFEE/MILK,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
HAND TOWELS/TISSUES,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
ENFORCEMENT OFFICERS,SUPPLIER 3,Buildings,Professional Fees,CAPITAL,ADMINISTRATION,T6,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
CORSS/WOOD,SUPPLIER 79,Buildings,Furniture and Fixtures,CAPITAL,CAPITAL,T6,T6
TEA/MILK,SUPPLIER 67,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
BCRS,SUPPLIER 14,BCRS,BCRS,HOUSEKEEPING,BAR,T9,T9
MILK/CFLAKES,SUPPLIER 67,Materials Purchased,Materials Purchased,HOUSEKEEPING,KITCHEN,T0,T0
