detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
COMMISSION,SUPPLIER 18,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T3,T9
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
COMMISSION,SUPPLIER 18,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T3,T9
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 14,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T1,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
COMMISSION,SUPPLIER 2,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T8,T6
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,HOUSEKEEPING,HOUSEKEEPING,T3,T3
GAS,SUPPLIER 23,Gas,Miscellaneous Expenses,KITCHEN,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER CUP,SUPPLIER 13,Miscellaneous Expenses,Miscellaneous Expenses,BAR,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER CUP,SUPPLIER 13,Miscellaneous Expenses,Miscellaneous Expenses,BAR,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
WATER CUP,SUPPLIER 13,Miscellaneous Expenses,Miscellaneous Expenses,BAR,HOUSEKEEPING,T3,T3
WATER,SUPPLIER 13,Materials Purchased,Materials Purchased,HOUSEKEEPING,HOUSEKEEPING,T1,T2
LEVEL,SUPPLIER 106,Repairs and Renewals,Repairs and Renewals,MAINTENANCE,MAINTENANCE,T3,T9
PIPES/CLAMPS,SUPPLIER 106,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,MAINTENANCE,T3,T3
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
DRAIN FITTINGS/DRILL BITS,SUPPLIER 106,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,MAINTENANCE,T3,T3
WASTE GOODS,SUPPLIER 106,Repairs and Renewals,Cleaning,MAINTENANCE,MAINTENANCE,T3,T3
COMMISSION,SUPPLIER 18,Sales Commissions,Buildings,ACCOMMODATION,ADMINISTRATION,T3,T9
WATER CONSUMPTION METRE,SUPPLIER 113,Plant and Machinery,Professional Fees,GENERAL/CAPITAL,ADMINISTRATION,T6,T3
COMMISSION,SUPPLIER 1,Sales Commissions,Professional Fees,ACCOMMODATION,ADMINISTRATION,T8,T3
WATER,SUPPLIER 14,Materials Purchased,Materials Purchased,HOUSEKEEPING,BAR,T1,T3
ADAPTER/ELBOWS/STOPCOCK,SUPPLIER 106,Repairs and Renewals,Miscellaneous Expenses,MAINTENANCE,MAINTENANCE,T3,T3
WATER SUPPLY,SUPPLIER 118,Water Rates,Repairs and Renewals,GENERAL/CAPITAL,ADMINISTRATION,T3,T3
