detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1
40 SKIPS MIXED MARCH 25,SUPPLIER 19,Cleaning,Office Stationery,HOUSEKEEPING,ADMINISTRATION,T3,T3
60 BINS ORGANIC MARCH 2025,SUPPLIER 19,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
MARCH 2024 SERVICES,SUPPLIER 27,Miscellaneous Expenses,Professional Fees,ADMINISTRATION,ADMINISTRATION,T9,T3
30 SKIPS MIXED APRIL,SUPPLIER 19,Cleaning,Materials Purchased,HOUSEKEEPING,BAR,T3,T3
60 BINS ORGANIC APRIL,SUPPLIER 19,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
JUICE,SUPPLIER 67,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T2,T0
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
APRIL 2025 SERVICES,SUPPLIER 27,Miscellaneous Expenses,Professional Fees,ADMINISTRATION,ADMINISTRATION,T9,T3
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
JUICE,SUPPLIER 67,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T0
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
31 SKIPS MAY 25,SUPPLIER 19,Cleaning,Office Stationery,HOUSEKEEPING,ADMINISTRATION,T3,T3
59 BINS ORG MAY 25,SUPPLIER 19,Cleaning,Office Stationery,HOUSEKEEPING,ADMINISTRATION,T3,T3
MAY 2025 SERVICES,SUPPLIER 27,Miscellaneous Expenses,Professional Fees,ADMINISTRATION,ADMINISTRATION,T9,T3
30 SKIPS JUNE 2025,SUPPLIER 19,Cleaning,Water Rates,HOUSEKEEPING,ADMINISTRATION,T3,T3
64 BINS ORGANIC JUNE 2025,SUPPLIER 19,Cleaning,Miscellaneous Expenses,HOUSEKEEPING,ADMINISTRATION,T3,T3
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
JUICE,SUPPLIER 67,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T0
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUNE 2025 SERVICES,SUPPLIER 27,Miscellaneous Expenses,Professional Fees,ADMINISTRATION,ADMINISTRATION,T9,T3
BEVERAGE,SUPPLIER 12,Materials Purchased,Materials Purchased,BAR,BAR,T0,T1
32 SKIPS JULY MIXED,SUPPLIER 19,Cleaning,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
54 BINS JULY ORGANIC,SUPPLIER 19,Cleaning,Materials Purchased,HOUSEKEEPING,ADMINISTRATION,T3,T3
JUICE,SUPPLIER 67,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,HOUSEKEEPING,KITCHEN,T3,T0
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
VAT,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Plant and Machinery,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Furniture and Fixtures,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,HOUSEKEEPING,GENERAL/CAPITAL,T3,T6
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
VAT,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Furniture and Fixtures,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
VAT,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,RESTAURANT,GENERAL/CAPITAL,T3,T6
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
GAS,SUPPLIER 23,Gas,Materials Purchased,KITCHEN,KITCHEN,T3,T0
64 BINS ORGANIC,SUPPLIER 19,Cleaning,Materials Purchased,HOUSEKEEPING,ADMINISTRATION,T3,T3
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
JUICE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,HOUSEKEEPING,T2,T2
