detail,supplier,true_nominal,pred_nominal,true_department,pred_department,true_tc,pred_tc
BAGS,SUPPLIER 24,Miscellaneous Expenses,Miscellaneous Expenses,HOUSEKEEPING,RESTAURANT,T3,T3
PAN,SUPPLIER 9,Miscellaneous Expenses,Miscellaneous Expenses,KITCHEN,CAPITAL,T3,T3
ARCHITECTURAL SERVICES,SUPPLIER 114,Professional Fees,Miscellaneous Expenses,ADMINISTRATION,ADMINISTRATION,T9,T9
SSR I71,SUPPLIER 107,Vehicle Licences,Materials Purchased,MAINTENANCE,CAPITAL,T9,T3
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,RESTAURANT,GENERAL/CAPITAL,T3,T6
INSECT KILLER,SUPPLIER 70,Miscellaneous Expenses,Cleaning,HOUSEKEEPING,HOUSEKEEPING,T3,T3
WATER SUPPLY,SUPPLIER 118,Water Rates,Materials Purchased,GENERAL/CAPITAL,GENERAL/CAPITAL,T3,T1
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
COFFEE,SUPPLIER 33,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
LOCAL CHARGES,SUPPLIER 121,Miscellaneous Expenses,Office Equipment,HOUSEKEEPING,GENERAL/CAPITAL,T9,T6
TRANSPORTATION,SUPPLIER 76,Miscellaneous Expenses,Miscellaneous Expenses,RESTAURANT,RESTAURANT,T9,T3
LOCAL CHARGES,SUPPLIER 121,Buildings,Office Equipment,GENERAL/CAPITAL,GENERAL/CAPITAL,T6,T6
COFFEE/BREAD,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
COFFEE,SUPPLIER 70,Materials Purchased,Materials Purchased,KITCHEN,HOUSEKEEPING,T0,T0
DIESEL,SUPPLIER 96,Vehicle Fuel,Vehicle Fuel,MAINTENANCE,ACCOMMODATION,T3,T3
FORD REPAIRS,SUPPLIER 123,Vehicle Repairs and Servicing,Repairs and Renewals,MAINTENANCE,MAINTENANCE,T3,T3
BEVERAGE,SUPPLIER 13,Materials Purchased,Materials Purchased,BAR,BAR,T2,T1
EMPTYING OF GREASE TRAPS 2,SUPPLIER 133,Cleaning,Professional Fees,KITCHEN,ADMINISTRATION,T3,T3
