DATE,REF,DETAIL,NET,TC,VAT,SUPPLIER,NOMINAL,DEPARTMENT
2025-04-02,0,TAL-LINJA CARDS,2560.8,T0,0.0,SUPPLIER 0,Materials Purchased,ACCOMMODATION
2025-04-03,1,COMMISSION,8902.12,T8,0.0,SUPPLIER 1,Sales Commissions,ACCOMMODATION
2025-04-05,2,COMMISSION,206.15,T8,0.0,SUPPLIER 2,Sales Commissions,ACCOMMODATION
2025-04-04,3,ENFORCEMENT OFFICERS,56.0,T6,10.08,SUPPLIER 3,Buildings,CAPITAL
2025-04-01,4,DEDICATED DATA SERVICE,2.64,T3,0.48,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-01,5,MOBILE,73.14,T3,13.17,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-01,6,BUSINESS FLEXI,63.82,T3,11.49,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,BUSINESS FLEXI,108.0,T3,19.42,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,DATA,1.69,T3,0.31,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,TELEPHONY,152.0,T3,27.36,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,USAGE,2.29,T3,0.41,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,PAPER BILL,1.27,T3,0.23,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,7,EXCISE,0.07,T3,0.01,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,8,MOBILE,19.69,T3,3.55,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-01,9,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-01,10,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
2025-04-09,11,LIFT SERVICES,530.0,T6,95.4,SUPPLIER 7,Buildings,CAPITAL
2025-04-09,11,CONTAINER TRANSPORT,1530.0,T6,275.4,SUPPLIER 7,Buildings,CAPITAL
2025-04-09,11,VOUCHER,24.49,T6,4.41,SUPPLIER 7,Buildings,CAPITAL
2025-04-07,12,FOOD,148.0,T0,0.0,SUPPLIER 8,Materials Purchased,KITCHEN
2025-04-11,13,FOOD,147.1,T0,0.0,SUPPLIER 8,Materials Purchased,KITCHEN
2025-04-05,14,VACUUM BAGS,107.16,T3,19.29,SUPPLIER 9,Miscellaneous Expenses,KITCHEN
2025-04-08,15,LAUNDRY,469.63,T3,84.53,SUPPLIER 10,Laundry,HOUSEKEEPING
2025-04-09,16,LAUNDRY,80.65,T3,14.52,SUPPLIER 10,Laundry,HOUSEKEEPING
2025-04-14,17,NEWSPAPERS,17.18,T2,0.86,SUPPLIER 11,Materials Purchased,ACCOMMODATION
2025-04-03,18,BEVERAGE,260.93,T1,46.97,SUPPLIER 12,Materials Purchased,BAR
2025-04-03,18,BEVERAGE,67.7,T0,0.0,SUPPLIER 12,Materials Purchased,BAR
2025-04-03,18,BCRS,6.4,T9,0.0,SUPPLIER 12,BCRS,BAR
2025-04-11,19,BEVERAGE,386.42,T1,69.56,SUPPLIER 12,Materials Purchased,BAR
2025-04-10,20,BEVERAGE,216.0,T1,38.88,SUPPLIER 13,Materials Purchased,BAR
2025-04-10,20,BEVERAGE,219.0,T2,10.94,SUPPLIER 13,Materials Purchased,BAR
2025-04-03,21,mixybar,132.84,T0,0.0,SUPPLIER 14,Materials Purchased,BAR
2025-04-04,22,BEVERAGE,462.61,T1,83.27,SUPPLIER 15,Materials Purchased,BAR
2025-04-04,22,BEVERAGE,26.0,T0,0.0,SUPPLIER 15,Materials Purchased,BAR
2025-04-04,22,DEPOSIT,161.2,T9,0.0,SUPPLIER 15,Deposits,BAR
2025-04-04,22,BCRS,7.2,T9,0.0,SUPPLIER 15,BCRS,BAR
2025-04-11,23,BEVERAGE,158.25,T1,28.49,SUPPLIER 15,Materials Purchased,BAR
2025-04-11,23,BEVERAGE,61.74,T2,3.09,SUPPLIER 15,Materials Purchased,BAR
2025-04-11,23,DEPOSIT,124.0,T9,0.0,SUPPLIER 15,Deposits,BAR
2025-04-11,23,BCRS,2.4,T9,0.0,SUPPLIER 15,BCRS,BAR
2025-04-02,24,BEVERAGE,583.97,T1,105.11,SUPPLIER 16,Materials Purchased,BAR
2025-04-02,24,DEPOSIT,125.0,T9,0.0,SUPPLIER 16,Deposits,BAR
2025-04-02,24,BCRS,12.0,T9,0.0,SUPPLIER 16,BCRS,BAR
2025-04-09,25,BEVERAGE,486.9,T1,87.63,SUPPLIER 16,Materials Purchased,BAR
2025-04-09,25,DEPOSIT,100.0,T9,0.0,SUPPLIER 16,Deposits,BAR
2025-04-09,25,BCRS,15.6,T9,0.0,SUPPLIER 16,BCRS,BAR
2025-04-07,26,LIFT MAINTENANCE,720.5,T3,129.69,SUPPLIER 17,Repairs and Renewals,MAINTENANCE
2025-04-15,27,COMMISSION,34.39,T3,6.19,SUPPLIER 18,Sales Commissions,ACCOMMODATION
2025-04-11,28,ENFORCEMENT OFFICERS,84.0,T6,15.12,SUPPLIER 3,Buildings,CAPITAL
2025-04-11,29,40 SKIPS MIXED MARCH 25,1120.0,T3,201.6,SUPPLIER 19,Cleaning,HOUSEKEEPING
2025-04-11,30,60 BINS ORGANIC MARCH 2025,360.0,T3,64.8,SUPPLIER 19,Cleaning,HOUSEKEEPING
2025-04-17,31,HEALTH INSURANCE RG,56.03,T9,0.0,SUPPLIER 20,Recruitment Expenses,ADMINISTRATION
2025-04-01,32,INTERNET DOCSIS,25.0,T3,4.5,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,32,DISCONNECTION CHARGE,16.95,T3,3.05,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-01,32,PAPER BILL,1.27,T3,0.23,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
2025-04-17,33,PASTRY,413.92,T0,0.0,SUPPLIER 22,Materials Purchased,KITCHEN
2025-04-21,34,GAS,508.47,T3,91.53,SUPPLIER 23,Gas,HOUSEKEEPING
2025-04-10,35,WATER,392.0,T1,70.56,SUPPLIER 13,Materials Purchased,HOUSEKEEPING
2025-04-10,35,BCRS,211.2,T9,0.0,SUPPLIER 13,BCRS,HOUSEKEEPING
2025-04-04,36,CASH ROLLS,44.0,T3,7.92,SUPPLIER 24,Miscellaneous Expenses,RESTAURANT
2025-04-14,37,NAPKINS,37.8,T3,6.8,SUPPLIER 24,Miscellaneous Expenses,RESTAURANT
2025-04-14,37,BAGS,41.3,T3,7.44,SUPPLIER 24,Miscellaneous Expenses,HOUSEKEEPING
2025-04-22,38,pans/tongs,274.41,T3,49.39,SUPPLIER 9,Miscellaneous Expenses,KITCHEN
2025-04-11,39,CALCULATOR/MARKERS,23.72,T3,4.27,SUPPLIER 25,Office Stationery,ADMINISTRATION
2025-04-15,40,TAX COMPLIANCE CERTIFICATE,65.0,T3,11.7,SUPPLIER 26,Professional Fees,ADMINISTRATION
2025-04-25,41,BANK LETTER REQUEST,50.0,T3,9.0,SUPPLIER 26,Professional Fees,ADMINISTRATION
2025-04-25,42,BANK LETTER REQUEST,50.0,T3,9.0,SUPPLIER 26,Professional Fees,ADMINISTRATION
2025-04-15,43,MARCH 2024 SERVICES,1203.83,T9,0.0,SUPPLIER 27,Miscellaneous Expenses,ADMINISTRATION
2025-04-14,44,BEVERAGE,478.12,T1,86.06,SUPPLIER 12,Materials Purchased,BAR
2025-04-14,44,BCRS,7.2,T9,0.0,SUPPLIER 12,BCRS,BAR
2025-04-15,45,BEVERAGE,28.13,T1,5.06,SUPPLIER 12,Materials Purchased,BAR
2025-04-17,46,BEVERAGE,209.73,T1,37.75,SUPPLIER 12,Materials Purchased,BAR
2025-04-17,46,BCRS,14.4,T9,0.0,SUPPLIER 12,BCRS,BAR
2025-04-23,47,BEVERAGE,576.18,T1,103.71,SUPPLIER 12,Materials Purchased,BAR
2025-04-23,47,BCRS,2.4,T9,0.0,SUPPLIER 12,BCRS,BAR
2025-04-24,48,MIXYBAR,22.0,T0,0.0,SUPPLIER 14,Materials Purchased,BAR
2025-04-24,49,BEVERAGE,62.88,T1,11.32,SUPPLIER 14,Materials Purchased,BAR
2025-04-24,49,CREAM/CHIPS,78.84,T0,0.0,SUPPLIER 14,Materials Purchased,BAR
2025-04-24,49,BCRS,9.6,T9,0.0,SUPPLIER 14,BCRS,BAR
2025-04-24,50,CONCENTRATE/MILK,92.11,T0,0.0,SUPPLIER 14,Materials Purchased,BAR
2025-04-15,51,BEVERAGE,100.62,T1,18.11,SUPPLIER 28,Materials Purchased,BAR
2025-04-16,52,BEVERAGE,150.32,T1,27.06,SUPPLIER 15,Materials Purchased,BAR
2025-04-16,52,DEPOSIT,7.2,T9,0.0,SUPPLIER 15,Deposits,BAR
2025-04-17,53,BEVERAGE,275.71,T1,49.63,SUPPLIER 15,Materials Purchased,BAR
2025-04-17,53,DEPOSIT,13.4,T9,0.0,SUPPLIER 15,Deposits,BAR
2025-04-17,53,BCRS,2.4,T9,0.0,SUPPLIER 15,BCRS,BAR
2025-04-25,54,BEVERAGE,504.58,T1,90.82,SUPPLIER 15,Materials Purchased,BAR
